service_family,capacity_teu,demand_set_id,seed,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,completed,total_revenue,transported_volume,accepted_volume,solver_status,ordinary_rejection_count,feasibility_rejection_count,feasibility_rejected_demand_ids,solver_failure_count,solve_time_seconds,mip_gap,variable_count,constraint_count,solver_node_count,revenue_per_accepted_teu
service_family_1,10,demand_set_01,11001,dca,controlled_substitute_input,f3fd135dde9f4a9542bc6da1f42df5da9e256fdfc25048901efb21ec4d5fd5a4,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,19512.5,85.0,85.0,all_events_processed,13,6,"('K0045', 'K0097', 'K0106', 'K0110', 'K0119', 'K0131')",0,2.3247541559976526,,,,,229.55882352941177
service_family_1,10,demand_set_01,11001,dca_rm,controlled_substitute_input,f3fd135dde9f4a9542bc6da1f42df5da9e256fdfc25048901efb21ec4d5fd5a4,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,20525.0,92.0,92.0,all_events_processed,7,6,"('K0045', 'K0097', 'K0106', 'K0110', 'K0119', 'K0131')",0,9.598392770043574,,,,,223.09782608695653
service_family_1,10,demand_set_01,11001,dca_r,controlled_substitute_input,f3fd135dde9f4a9542bc6da1f42df5da9e256fdfc25048901efb21ec4d5fd5a4,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,20525.000000000004,88.0,88.0,all_events_processed,12,5,"('K0097', 'K0106', 'K0110', 'K0119', 'K0131')",0,7.201973165036179,,,,,233.2386363636364
service_family_1,10,demand_set_01,11001,dca_rrm,controlled_substitute_input,f3fd135dde9f4a9542bc6da1f42df5da9e256fdfc25048901efb21ec4d5fd5a4,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,20525.0,88.0,88.0,all_events_processed,12,5,"('K0097', 'K0106', 'K0110', 'K0119', 'K0131')",0,14.990189537988044,,,,,233.23863636363637
