service_family,capacity_teu,demand_set_id,seed,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,completed,total_revenue,transported_volume,accepted_volume,solver_status,ordinary_rejection_count,feasibility_rejection_count,feasibility_rejected_demand_ids,solver_failure_count,solve_time_seconds,mip_gap,variable_count,constraint_count,solver_node_count,revenue_per_accepted_teu
service_family_1,10,demand_set_04,11004,dca_rrm,controlled_substitute_input,52a99d9f329608c7a0cd9ad5f94d1a0b0a767d5b9e0f2254aff4aadef32361c9,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,True,24037.5,100.0,100.0,all_events_processed,13,6,"('K0080', 'K0083', 'K0087', 'K0098', 'K0126', 'K0139')",0,20.5450679929927,,,,,240.375
service_family_1,10,demand_set_05,11005,dca,controlled_substitute_input,5bffb017f4f4dc7756cb01fb675dd857863a37e413d35f308107113c6d50fabc,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,21093.75,100.0,100.0,all_events_processed,5,5,"('K0059', 'K0083', 'K0099', 'K0111', 'K0113')",0,2.094867567997426,,,,,210.9375
service_family_1,10,demand_set_05,11005,dca_rm,controlled_substitute_input,5bffb017f4f4dc7756cb01fb675dd857863a37e413d35f308107113c6d50fabc,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,21768.75,102.0,102.0,all_events_processed,6,4,"('K0093', 'K0099', 'K0111', 'K0113')",0,11.464512451959308,,,,,213.4191176470588
service_family_1,10,demand_set_05,11005,dca_r,controlled_substitute_input,5bffb017f4f4dc7756cb01fb675dd857863a37e413d35f308107113c6d50fabc,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,21218.75,101.0,101.0,all_events_processed,6,4,"('K0083', 'K0099', 'K0111', 'K0113')",0,8.708058218995575,,,,,210.08663366336634
service_family_1,10,demand_set_05,11005,dca_rrm,controlled_substitute_input,5bffb017f4f4dc7756cb01fb675dd857863a37e413d35f308107113c6d50fabc,d471d1252ffe718c800490ae3813e0af44e52da934a91d320071397340ca5431,True,21993.75,104.0,104.0,all_events_processed,5,3,"('K0093', 'K0099', 'K0111')",0,18.209621704008896,,,,,211.4783653846154
service_family_1,15,demand_set_01,11001,dca,controlled_substitute_input,da3056a016a61b3de513e968f5367a9b77ee35824bacddbcea7dd98f8a036339,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,23606.25,108.0,108.0,all_events_processed,3,1,"('K0119',)",0,2.173898710985668,,,,,218.57638888888889
service_family_1,15,demand_set_01,11001,dca_rm,controlled_substitute_input,da3056a016a61b3de513e968f5367a9b77ee35824bacddbcea7dd98f8a036339,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24543.75,110.0,110.0,all_events_processed,3,0,(),0,9.801910133974161,,,,,223.125
service_family_1,15,demand_set_01,11001,dca_r,controlled_substitute_input,da3056a016a61b3de513e968f5367a9b77ee35824bacddbcea7dd98f8a036339,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24925.0,113.0,113.0,all_events_processed,0,0,(),0,8.1976065490162,,,,,220.57522123893804
service_family_1,15,demand_set_01,11001,dca_rrm,controlled_substitute_input,da3056a016a61b3de513e968f5367a9b77ee35824bacddbcea7dd98f8a036339,589ba169d6c553e9ddf049dfdb28af83e89649dc61fd482c32985922004adcbf,True,24800.0,112.0,112.0,all_events_processed,1,0,(),0,16.075093718012795,,,,,221.42857142857142
service_family_1,15,demand_set_02,11002,dca,controlled_substitute_input,04edd66e15f2d1d39ca1c0d60a23cd09e8adb3a698e11852e81b26c671d20e2b,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,True,27856.25,122.0,122.0,all_events_processed,6,2,"('K0130', 'K0138')",0,2.249291779997293,,,,,228.32991803278688
