service_family,capacity_teu,demand_set_id,seed,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,revenue_ir_percent,volume_ir_percent
service_family_1,15,demand_set_02,11002,dca,controlled_substitute_input,04edd66e15f2d1d39ca1c0d60a23cd09e8adb3a698e11852e81b26c671d20e2b,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,0.0,0.0
service_family_1,15,demand_set_02,11002,dca_rm,controlled_substitute_input,04edd66e15f2d1d39ca1c0d60a23cd09e8adb3a698e11852e81b26c671d20e2b,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,4.868745793134395,4.098360655737705
service_family_1,15,demand_set_02,11002,dca_r,controlled_substitute_input,04edd66e15f2d1d39ca1c0d60a23cd09e8adb3a698e11852e81b26c671d20e2b,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,4.868745793134395,4.098360655737705
service_family_1,15,demand_set_02,11002,dca_rrm,controlled_substitute_input,04edd66e15f2d1d39ca1c0d60a23cd09e8adb3a698e11852e81b26c671d20e2b,8a1d1809a806f278caa783dd14987ba3c9b969eb57aef4b8534d86c9fa91830e,4.868745793134395,4.098360655737705
service_family_1,15,demand_set_03,11003,dca,controlled_substitute_input,e2471cfa6f09e4b6bd21dbb92bda5061c4462d7e7edb0bd12060cff44499602a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.0,0.0
service_family_1,15,demand_set_03,11003,dca_rm,controlled_substitute_input,e2471cfa6f09e4b6bd21dbb92bda5061c4462d7e7edb0bd12060cff44499602a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.5339028296849974,0.9900990099009901
service_family_1,15,demand_set_03,11003,dca_r,controlled_substitute_input,e2471cfa6f09e4b6bd21dbb92bda5061c4462d7e7edb0bd12060cff44499602a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.5339028296849974,0.9900990099009901
service_family_1,15,demand_set_03,11003,dca_rrm,controlled_substitute_input,e2471cfa6f09e4b6bd21dbb92bda5061c4462d7e7edb0bd12060cff44499602a,62ca29bc7e0a19bf22bbaee9089f5b4654133a8f0f8406c7e834bc8045005d08,0.5339028296849974,0.9900990099009901
service_family_1,15,demand_set_04,11004,dca,controlled_substitute_input,d6386764104eff41bc589265627d980f72a0033bb5f688979c282e8ce073373b,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,0.0,0.0
service_family_1,15,demand_set_04,11004,dca_rm,controlled_substitute_input,d6386764104eff41bc589265627d980f72a0033bb5f688979c282e8ce073373b,a44c301625eff152c539777163adc08881bae09bbf794d9ae641c31228a2d610,7.853403141361256,7.142857142857143
