policy_key,policy_label,mechanism,value_interpretation,occurrence_probability,maximum_forecast_volume,lookahead_periods,completed,attempted_events,processed_events,accepted_volume,realised_revenue,summed_optimisation_objectives,summed_expected_future_contribution,forecast_candidate_count,positive_protection_count,selected_protection_volume,accepted_demand_ids,failure_event_id,processed_event_delta_vs_dca,accepted_volume_delta_vs_dca,realised_revenue_delta_vs_dca,common_prefix_accepted_volume_delta,common_prefix_revenue_delta,continuation_volume_after_dca_failure,continuation_revenue_after_dca_failure,paired_acceptance_improvement_count
dca,Sequential DCA,DCA,,,,,False,9,8,26,823.9,823.9,0,0,0,0,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010,booking::0009::K0011,0,0,0,0,0,0,0,0
rm_printed_p20,DCA-RM printed p=0.20,DCA-RM,printed,0.2,8,,False,12,11,31,978.91,1437.94175,459.03175,42,19,113,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011;K0012;K0016,booking::0012::K0017,3,5,155.01,0,0,5,155.01,0
rm_printed_p50,DCA-RM printed p=0.50,DCA-RM,printed,0.5,8,,False,12,11,28,913.06,2354.3725,1441.3125,42,20,131,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011;K0012;K0016,booking::0012::K0017,3,2,89.16,-3,-65.85,5,155.01,0
rm_printed_p80,DCA-RM printed p=0.80,DCA-RM,printed,0.8,8,,False,16,15,36,1324.86,3835.149,2510.289,56,24,145,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0011;K0012;K0016;K0017;K0002,booking::0016::K0013,7,10,500.96,-5,-133.69,15,634.65,0
rm_capped_p20,DCA-RM capped p=0.20,DCA-RM,capped,0.2,8,,False,12,11,31,978.91,1634.228,655.318,42,29,113,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011;K0012;K0016,booking::0012::K0017,3,5,155.01,0,0,5,155.01,0
rm_capped_p50,DCA-RM capped p=0.50,DCA-RM,capped,0.5,8,,False,12,11,31,978.91,2617.205,1638.295,42,29,113,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011;K0012;K0016,booking::0012::K0017,3,5,155.01,0,0,5,155.01,0
rm_capped_p80,DCA-RM capped p=0.80,DCA-RM,capped,0.8,8,,False,12,11,29,935.01,3785.49,2850.48,42,30,125,K0001;K0003;K0004;K0005;K0006;K0007;K0009;K0010;K0011;K0012;K0016,booking::0012::K0017,3,3,111.11,-2,-43.9,5,155.01,0
